login_attempts_per_min,files_accessed_per_min,cpu_usage_avg,network_out_mb,process_count
0,18,38.106501585009696,0.4980900778139503,37
1,10,36.52270900489128,2.8718059953027932,36
1,13,26.130027987270765,3.9018424255565978,65
1,14,23.107643685600518,3.0810196045284957,42
0,12,13.253611324075548,1.2577619666798776,42
0,16,10.201192793921052,3.335684788757411,39
1,10,11.550958222731243,4.893808786101748,30
1,6,11.327511656455304,4.3310010055600285,77
1,3,28.575875372318297,2.699720174666679,66
0,11,32.96628970991708,2.828820859216599,78
0,15,12.456889003648737,3.1850664325188807,31
1,13,11.388792025167136,0.7123271090323338,49
2,10,39.78162635327858,2.625694119884439,57
1,12,22.174639160439952,4.964701079659511,70
2,11,35.744713850627384,2.4265922919767067,51
2,12,35.526241865608974,1.4109270570927006,70
2,15,11.613821425089029,0.6940058144957643,63
1,9,37.01898985166612,1.0503262744313373,33
0,19,5.6080194577091405,1.944602432801733,70
0,7,23.230787762965296,2.606813156532314,52
2,16,19.738328258370274,2.731874661386859,73
0,18,13.041677659481902,0.5939668301066393,42
2,4,5.590541606636867,0.5492537060665456,54
2,4,31.074019065686315,3.2722835092541946,38
1,2,17.23295738370743,3.97736850108388,46
2,4,33.938521071708216,3.9418490116206963,44
0,5,13.857179312164572,0.5387773619034201,31
0,4,32.37359513783987,3.693140518258753,53
2,4,9.771899373451078,1.6650477864746824,64
1,3,6.768266632401756,0.6610142333931236,71
0,2,23.50284467863609,2.7816400108922292,30
1,2,39.64700603760727,3.597620935999124,73
1,2,39.785165152623854,1.2985905978369592,37
1,4,6.649735415249745,4.116892139277508,35
0,7,26.318175116738107,4.77654492422267,42
2,17,16.474211673032755,1.1657529199813434,75
1,16,9.662861442254627,3.6096435208213697,70
1,18,33.42580206113975,3.143293499833601,64
0,12,17.814246836649545,0.29779606899324573,51
2,4,31.690194755042125,1.7264899233161726,75
0,2,24.991358717591385,1.815245281484851,78
2,4,24.10114570100742,2.1423200575426162,75
2,7,31.411352210570744,4.998785433000827,73
2,2,29.969299136355303,2.5039853574900026,30
1,11,16.532205042480076,1.503956610317993,58
2,1,8.950245423593934,4.675807766466904,33
0,16,30.453280836980213,4.306945359699764,40
2,2,12.644183886686443,3.717745836423553,69
